player_name,team,conf,gp,min_per,ortg,usg,efg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec_rank,ast_tov,rim_made,rim_att,mid_made,mid_att,rim_pct,mid_pct,dunks_made,dunks_att,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,three_p_per_100,season
Andre Henry,UC Irvine,BW,26,50.1,113.4,18.7,53.3,56.78,1.2,10.0,8.9,9.6,40,49,0.816,58,107,0.542,31,89,0.348,0.2,2.0,25.0,Sr,6-4,4,1.41061,111.122,2.6,2026,72423,"La Canada Flintridge, CA",49.0,1.38884871,24.0,36.0,34.0,71.0,0.6667,0.4789,0.0,0.0,,,99.8325,100.894,2.49496,96.6778,0.626986,0.318465,0.308521,2.06461,21.7577,0.376914,1.68769,0.2308,2.1923,2.4231,0.9615,0.7692,0.0385,9.5769,Wing G,8.87866,2026
Josh Taylor,East Texas A&M,Slnd,30,41.7,98.2,17.9,53.3,53.98,9.8,13.3,9.4,21.5,19,34,0.559,52,96,0.542,8,24,0.333,4.2,1.2,28.3,Sr,6-8,10,0.177775,95.333,3.6,2026,72433,"Atlanta, GA",,0.72730795,46.0,71.0,6.0,25.0,0.6479,0.24,11.0,14.0,0.7857,,111.884,113.375,1.20749,82.3723,-2.46865,-3.18947,0.72082,-3.61407,16.7188,-2.67387,-0.940198,1.4375,2.125,3.5625,0.75,0.3125,0.6562,5.0625,PF/C,2.79903,2026
Chad Baker-Mazara,USC,B10,25,63.3,114.9,27.5,53.5,59.95,2.1,13.3,19.9,16.4,115,128,0.898,85,170,0.5,60,157,0.382,4.7,1.4,39.1,Sr,6-7,4,3.91738,130.786,3.5,2026,72450,"Santo Domingo, Dominican Republic",,1.18029158,38.0,57.0,47.0,113.0,0.6667,0.4159,8.0,9.0,0.8889,,108.411,102.42,3.23727,132.37,5.87229,3.75569,2.11659,8.03873,29.6308,6.06709,1.97163,0.5769,3.6538,4.2308,2.7692,0.7308,1.2692,18.4615,Stretch 4,11.8168,2026
Dante Harris,Tennessee St.,OVC,27,81.9,106.4,20.7,44.0,48.61,2.7,8.8,25.3,15.0,72,101,0.713,105,240,0.438,11,36,0.306,0.0,2.9,36.6,Sr,6-0,10,1.3899,104.48,2.5,2026,72478,"Washington, DC",19.0,2.49097256,52.0,98.0,53.0,142.0,0.5306,0.3732,1.0,1.0,1.0,,107.674,114.526,2.24414,144.827,-2.51837,-0.476335,-2.04203,-2.02029,32.0933,-1.10514,-0.915153,0.8667,2.6,3.4667,4.5667,1.6667,0.0,11.7333,Scoring PG,2.28076,2026
Jay Rodgers,Central Connecticut,NEC,28,74.9,106.8,25.8,48.2,53.29,0.3,8.2,45.8,21.7,67,82,0.817,73,162,0.451,32,89,0.36,0.3,0.8,32.7,Sr,6-3,1,1.79117,109.48,1.7,2026,72501,"Pickerington, OH",,2.57498049,33.0,65.0,40.0,97.0,0.5077,0.4124,0.0,0.0,,,115.936,124.015,1.06564,103.525,-5.64929,-0.0587541,-5.59054,-3.59163,29.27,0.619338,-4.21097,0.1,2.1,2.2,6.8667,0.4,0.0667,11.0333,Pure PG,6.48581,2026
Jalen Speer,Marshall,SB,30,81.7,111.6,26.0,49.6,52.89,1.3,11.4,30.0,15.6,69,84,0.821,74,174,0.425,87,238,0.366,0.2,1.9,20.4,Sr,6-1,50,2.91127,117.921,3.0,2026,72504,"Gainesville, FL",,2.36110408,25.0,45.0,49.0,129.0,0.5556,0.3798,1.0,1.0,1.0,,113.024,114.907,2.19419,160.166,-0.750875,2.61252,-3.3634,0.777806,32.3742,2.69769,-1.91988,0.3548,3.6129,3.9677,5.4839,1.0645,0.0968,15.6774,Scoring PG,13.7918,2026
Saba Gigiberia,San Francisco,WCC,24,12.0,96.3,24.8,46.5,43.42,18.5,29.1,17.7,16.6,6,21,0.286,20,42,0.476,0,1,0.0,3.6,1.6,48.8,Sr,7-2,10,0.242794,103.896,4.1,2026,72520,"Tbilisi, Georgia",61.0,1.33333333,16.0,29.0,4.0,13.0,0.5517,0.3077,6.0,7.0,0.8571,,102.803,101.939,0.67427,32.2726,0.406179,-1.93702,2.3432,-0.694554,6.264,-0.819556,0.125002,1.0,1.64,2.64,0.64,0.16,0.28,2.16,C,0.413371,2026
DA Houston,Texas A&M Corpus Chris,Slnd,23,42.6,96.7,25.4,47.6,51.73,1.8,5.9,28.0,22.7,46,69,0.667,34,84,0.405,24,63,0.381,1.5,1.8,46.9,Sr,6-2,0,0.695029,102.28,5.5,2026,72521,"Houston, TX",,1.45098044,27.0,60.0,7.0,24.0,0.45,0.2917,0.0,0.0,,,107.401,108.488,1.78734,68.0725,-2.84777,-1.34271,-1.50505,-1.95767,19.848,-1.21629,-0.741381,0.28,1.16,1.44,2.96,0.64,0.28,7.76,Pure PG,8.06981,2026
Terren Frank,Campbell,CAA,6,4.4,80.1,15.8,33.3,37.24,4.4,7.3,10.6,21.3,2,3,0.667,4,11,0.364,0,1,0.0,1.9,2.3,25.0,Sr,6-8,15,-0.513678,74.7741,7.9,2026,72526,"Los Angeles, CA",68.4,1.0,3.0,4.0,1.0,7.0,0.75,0.1429,0.0,0.0,,,113.324,116.638,0.517679,8.30439,-6.29131,-5.75821,-0.533101,-8.39981,8.4667,-7.43858,-0.961224,0.3333,0.5,0.8333,0.5,0.3333,0.1667,1.6667,Wing F,1.11355,2026
Tyon Grant-Foster,Gonzaga,WCC,31,53.5,106.1,26.1,49.8,52.41,8.7,17.4,8.4,13.9,79,131,0.603,111,207,0.536,14,58,0.241,6.5,2.1,49.4,Sr,6-7,7,1.79148,116.394,3.7,2026,72539,"Kansas City, KS",,0.81392831,95.0,158.0,16.0,49.0,0.6013,0.3265,38.0,45.0,0.8444,,90.7627,87.3473,3.48209,150.37,4.45449,-0.348345,4.80283,4.33479,21.4774,1.1978,3.13699,1.6129,3.4839,5.0968,1.129,0.8065,1.129,11.0645,PF/C,4.89513,2026
